2021-02-23 15:06:34.9506|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: ActivityMigration|metrics: {}, properties: {"prevState":"No version","newState":"1","success":"True"}|
2021-02-23 15:06:35.9609|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.GetFilesBlock","id":"0"}|
2021-02-23 15:06:35.9609|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.ParseDelimitedBlock","id":"1"}|
2021-02-23 15:06:35.9609|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.DropColumnsBlock","id":"2"}|
2021-02-23 15:06:35.9609|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.SetColumnTypesBlock","id":"3"}|
2021-02-23 15:06:35.9609|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.TakeBlock","id":"4"}|
2021-02-23 15:06:35.9609|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.SetRsLexContextBlock","id":"5"}|
2021-02-23 15:13:13.2266|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.GetFilesBlock","id":"0"}|
2021-02-23 15:13:13.2267|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.ParseDelimitedBlock","id":"1"}|
2021-02-23 15:13:13.2267|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.DropColumnsBlock","id":"2"}|
2021-02-23 15:13:13.2267|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.SetColumnTypesBlock","id":"3"}|
2021-02-23 15:13:13.2267|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.TakeBlock","id":"4"}|
2021-02-23 15:13:13.2267|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.WriteFeatherToSocketBlock","id":"5"}|
2021-02-23 15:13:13.8800|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: WritePartitionToSocket|metrics: {"size":34880.0}, properties: {}|
2021-02-23 15:13:17.1819|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.GetFilesBlock","id":"0"}|
2021-02-23 15:13:17.1819|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.ParseDelimitedBlock","id":"1"}|
2021-02-23 15:13:17.1819|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.DropColumnsBlock","id":"2"}|
2021-02-23 15:13:17.1819|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.SetColumnTypesBlock","id":"3"}|
2021-02-23 15:13:17.1819|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.DropColumnsBlock","id":"4"}|
